user_id,conversion_date,week,phase,city,device_type,previous_plan,last_touch_channel,days_to_convert,premiere_monthly_brl
USR001000,2024-03-09,-2,Pre-period wk1,SP,mobile,free,Digital Video (TikTok Ads),5,34.9
USR001001,2024-03-04,-2,Pre-period wk1,SP,mobile,basic,Digital Video (YouTube Ads),0,34.9
USR001002,2024-03-09,-2,Pre-period wk1,SP,mobile,basic,Digital Video (TikTok Ads),12,34.9
USR001003,2024-03-05,-2,Pre-period wk1,SP,mobile,free,Digital Video (Meta Ads),4,34.9
USR001004,2024-03-10,-2,Pre-period wk1,SP,tablet,free,Digital Video (Meta Ads),2,34.9
USR001005,2024-03-06,-2,Pre-period wk1,SP,tablet,basic,Digital Video (TikTok Ads),14,34.9
USR001006,2024-03-04,-2,Pre-period wk1,SP,desktop,free,Digital Video (Meta Ads),1,34.9
USR001007,2024-03-06,-2,Pre-period wk1,SP,mobile,free,Digital Video (TikTok Ads),0,34.9
USR001008,2024-03-05,-2,Pre-period wk1,SP,mobile,free,Digital Video (TikTok Ads),11,34.9
USR001009,2024-03-07,-2,Pre-period wk1,SP,tablet,free,Digital Video (TikTok Ads),2,34.9
USR001010,2024-03-09,-2,Pre-period wk1,SP,tablet,free,Digital Video (YouTube Ads),4,34.9
USR001011,2024-03-08,-2,Pre-period wk1,SP,desktop,free,Digital Video (TikTok Ads),14,34.9
USR001012,2024-03-08,-2,Pre-period wk1,SP,mobile,free,Digital Video (TikTok Ads),4,34.9
USR001013,2024-03-07,-2,Pre-period wk1,SP,mobile,basic,organic,14,34.9
USR001014,2024-03-08,-2,Pre-period wk1,SP,mobile,free,Digital Video (YouTube Ads),1,34.9
USR001015,2024-03-06,-2,Pre-period wk1,SP,tablet,free,Digital Video (Google Ads),9,34.9
USR001016,2024-03-05,-2,Pre-period wk1,SP,mobile,free,Digital Video (Google Ads),1,34.9
USR001017,2024-03-04,-2,Pre-period wk1,SP,mobile,basic,Digital Video (TikTok Ads),3,34.9
USR001018,2024-03-06,-2,Pre-period wk1,SP,mobile,basic,Digital Video (Meta Ads),2,34.9
USR001019,2024-03-09,-2,Pre-period wk1,SP,tablet,basic,Digital Video (TikTok Ads),7,34.9
USR001020,2024-03-05,-2,Pre-period wk1,SP,desktop,free,Digital Video (TikTok Ads),1,34.9
USR001021,2024-03-04,-2,Pre-period wk1,SP,mobile,basic,Digital Video (Meta Ads),6,34.9
USR001022,2024-03-07,-2,Pre-period wk1,SP,mobile,free,Digital Video (TikTok Ads),10,34.9
USR001023,2024-03-09,-2,Pre-period wk1,SP,desktop,free,Digital Video (Google Ads),5,34.9
USR001024,2024-03-10,-2,Pre-period wk1,SP,mobile,free,Digital Video (TikTok Ads),3,34.9
USR001025,2024-03-08,-2,Pre-period wk1,SP,desktop,free,Digital Video (YouTube Ads),4,34.9
USR001026,2024-03-07,-2,Pre-period wk1,SP,mobile,basic,Digital Video (YouTube Ads),12,34.9
USR001027,2024-03-10,-2,Pre-period wk1,SP,mobile,free,Digital Video (TikTok Ads),10,34.9
USR001028,2024-03-08,-2,Pre-period wk1,SP,mobile,free,Digital Video (TikTok Ads),2,34.9
USR001029,2024-03-07,-2,Pre-period wk1,SP,mobile,basic,Digital Video (Meta Ads),14,34.9
USR001030,2024-03-04,-2,Pre-period wk1,SP,mobile,basic,Digital Video (Google Ads),4,34.9
USR001031,2024-03-10,-2,Pre-period wk1,SP,mobile,basic,Digital Video (TikTok Ads),11,34.9
USR001032,2024-03-09,-2,Pre-period wk1,SP,tablet,free,organic,11,34.9
USR001033,2024-03-07,-2,Pre-period wk1,SP,mobile,free,Digital Video (Google Ads),0,34.9
USR001034,2024-03-08,-2,Pre-period wk1,SP,mobile,free,Digital Video (TikTok Ads),5,34.9
USR001035,2024-03-04,-2,Pre-period wk1,SP,desktop,basic,Digital Video (Google Ads),14,34.9
USR001036,2024-03-10,-2,Pre-period wk1,SP,mobile,basic,Digital Video (Meta Ads),1,34.9
USR001037,2024-03-10,-2,Pre-period wk1,SP,tablet,free,Digital Video (Google Ads),10,34.9
USR001038,2024-03-10,-2,Pre-period wk1,SP,mobile,basic,Digital Video (Google Ads),3,34.9
USR001039,2024-03-08,-2,Pre-period wk1,SP,tablet,free,Digital Video (Meta Ads),6,34.9
USR001040,2024-03-09,-2,Pre-period wk1,SP,tablet,ad-supported,Digital Video (Meta Ads),14,34.9
USR001041,2024-03-06,-2,Pre-period wk1,SP,mobile,free,Digital Video (Google Ads),4,34.9
USR001042,2024-03-07,-2,Pre-period wk1,SP,mobile,basic,Digital Video (Google Ads),5,34.9
USR001043,2024-03-10,-2,Pre-period wk1,SP,mobile,basic,Digital Video (TikTok Ads),9,34.9
USR001044,2024-03-08,-2,Pre-period wk1,SP,mobile,basic,organic,3,34.9
USR001045,2024-03-08,-2,Pre-period wk1,SP,mobile,free,Digital Video (YouTube Ads),14,34.9
USR001046,2024-03-05,-2,Pre-period wk1,SP,mobile,basic,Digital Video (YouTube Ads),13,34.9
USR001047,2024-03-08,-2,Pre-period wk1,SP,tablet,free,Digital Video (Meta Ads),8,34.9
USR001048,2024-03-04,-2,Pre-period wk1,SP,tablet,ad-supported,Digital Video (Meta Ads),14,34.9
USR001049,2024-03-09,-2,Pre-period wk1,SP,mobile,ad-supported,Digital Video (Google Ads),1,34.9
USR001050,2024-03-04,-2,Pre-period wk1,SP,mobile,ad-supported,Digital Video (TikTok Ads),4,34.9
USR001051,2024-03-08,-2,Pre-period wk1,SP,mobile,free,Digital Video (Google Ads),10,34.9
USR001052,2024-03-09,-2,Pre-period wk1,SP,tablet,basic,Digital Video (TikTok Ads),4,34.9
USR001053,2024-03-10,-2,Pre-period wk1,SP,desktop,ad-supported,Digital Video (Google Ads),0,34.9
USR001054,2024-03-04,-2,Pre-period wk1,SP,mobile,free,Digital Video (YouTube Ads),4,34.9
USR001055,2024-03-05,-2,Pre-period wk1,SP,tablet,free,Digital Video (TikTok Ads),6,34.9
USR001056,2024-03-08,-2,Pre-period wk1,SP,mobile,free,Digital Video (Google Ads),14,34.9
USR001057,2024-03-05,-2,Pre-period wk1,SP,mobile,basic,Digital Video (Meta Ads),8,34.9
USR001058,2024-03-05,-2,Pre-period wk1,SP,mobile,ad-supported,Digital Video (YouTube Ads),5,34.9
USR001059,2024-03-10,-2,Pre-period wk1,SP,mobile,ad-supported,organic,3,34.9
USR001060,2024-03-09,-2,Pre-period wk1,SP,mobile,ad-supported,Digital Video (YouTube Ads),12,34.9
USR001061,2024-03-08,-2,Pre-period wk1,SP,desktop,basic,Digital Video (TikTok Ads),11,34.9
USR001062,2024-03-05,-2,Pre-period wk1,SP,mobile,free,Digital Video (TikTok Ads),12,34.9
USR001063,2024-03-10,-2,Pre-period wk1,SP,desktop,free,Digital Video (Google Ads),2,34.9
USR001064,2024-03-09,-2,Pre-period wk1,SP,desktop,free,Digital Video (TikTok Ads),13,34.9
USR001065,2024-03-09,-2,Pre-period wk1,SP,mobile,free,Digital Video (TikTok Ads),12,34.9
USR001066,2024-03-09,-2,Pre-period wk1,SP,mobile,basic,Digital Video (Google Ads),3,34.9
USR001067,2024-03-12,-1,Pre-period wk2,SP,desktop,ad-supported,Digital Video (TikTok Ads),4,34.9
USR001068,2024-03-17,-1,Pre-period wk2,SP,mobile,free,Digital Video (TikTok Ads),0,34.9
USR001069,2024-03-16,-1,Pre-period wk2,SP,mobile,ad-supported,Digital Video (Google Ads),13,34.9
USR001070,2024-03-11,-1,Pre-period wk2,SP,mobile,ad-supported,organic,10,34.9
USR001071,2024-03-15,-1,Pre-period wk2,SP,tablet,ad-supported,Digital Video (YouTube Ads),0,34.9
USR001072,2024-03-11,-1,Pre-period wk2,SP,mobile,free,Digital Video (TikTok Ads),9,34.9
USR001073,2024-03-13,-1,Pre-period wk2,SP,tablet,basic,Digital Video (Google Ads),5,34.9
USR001074,2024-03-16,-1,Pre-period wk2,SP,desktop,basic,Digital Video (TikTok Ads),8,34.9
USR001075,2024-03-11,-1,Pre-period wk2,SP,tablet,free,Digital Video (YouTube Ads),4,34.9
USR001076,2024-03-11,-1,Pre-period wk2,SP,mobile,basic,Digital Video (Meta Ads),14,34.9
USR001077,2024-03-17,-1,Pre-period wk2,SP,mobile,ad-supported,Digital Video (Meta Ads),6,34.9
USR001078,2024-03-11,-1,Pre-period wk2,SP,mobile,basic,organic,5,34.9
USR001079,2024-03-16,-1,Pre-period wk2,SP,mobile,basic,Digital Video (TikTok Ads),4,34.9
USR001080,2024-03-16,-1,Pre-period wk2,SP,desktop,free,Digital Video (YouTube Ads),4,34.9
USR001081,2024-03-15,-1,Pre-period wk2,SP,desktop,free,Digital Video (Google Ads),6,34.9
USR001082,2024-03-16,-1,Pre-period wk2,SP,mobile,basic,Digital Video (TikTok Ads),9,34.9
USR001083,2024-03-13,-1,Pre-period wk2,SP,mobile,ad-supported,Digital Video (YouTube Ads),4,34.9
USR001084,2024-03-12,-1,Pre-period wk2,SP,tablet,basic,Digital Video (YouTube Ads),10,34.9
USR001085,2024-03-13,-1,Pre-period wk2,SP,desktop,free,Digital Video (YouTube Ads),3,34.9
USR001086,2024-03-15,-1,Pre-period wk2,SP,mobile,free,Digital Video (YouTube Ads),1,34.9
USR001087,2024-03-13,-1,Pre-period wk2,SP,tablet,ad-supported,Digital Video (Meta Ads),1,34.9
USR001088,2024-03-17,-1,Pre-period wk2,SP,mobile,free,organic,4,34.9
USR001089,2024-03-12,-1,Pre-period wk2,SP,mobile,free,Digital Video (TikTok Ads),0,34.9
USR001090,2024-03-12,-1,Pre-period wk2,SP,tablet,free,organic,7,34.9
USR001091,2024-03-14,-1,Pre-period wk2,SP,tablet,free,Digital Video (TikTok Ads),11,34.9
USR001092,2024-03-16,-1,Pre-period wk2,SP,desktop,free,Digital Video (YouTube Ads),2,34.9
USR001093,2024-03-16,-1,Pre-period wk2,SP,mobile,basic,Digital Video (Meta Ads),3,34.9
USR001094,2024-03-12,-1,Pre-period wk2,SP,tablet,basic,Digital Video (TikTok Ads),0,34.9
USR001095,2024-03-15,-1,Pre-period wk2,SP,mobile,basic,Digital Video (YouTube Ads),2,34.9
USR001096,2024-03-17,-1,Pre-period wk2,SP,tablet,basic,Digital Video (YouTube Ads),9,34.9
USR001097,2024-03-13,-1,Pre-period wk2,SP,desktop,basic,organic,13,34.9
USR001098,2024-03-16,-1,Pre-period wk2,SP,desktop,basic,Digital Video (TikTok Ads),7,34.9
USR001099,2024-03-12,-1,Pre-period wk2,SP,desktop,basic,Digital Video (TikTok Ads),4,34.9
USR001100,2024-03-17,-1,Pre-period wk2,SP,mobile,basic,Digital Video (YouTube Ads),7,34.9
USR001101,2024-03-16,-1,Pre-period wk2,SP,desktop,free,Digital Video (Google Ads),11,34.9
USR001102,2024-03-13,-1,Pre-period wk2,SP,mobile,ad-supported,Digital Video (Google Ads),14,34.9
USR001103,2024-03-15,-1,Pre-period wk2,SP,mobile,free,Digital Video (Google Ads),6,34.9
USR001104,2024-03-16,-1,Pre-period wk2,SP,mobile,free,Digital Video (Google Ads),6,34.9
USR001105,2024-03-14,-1,Pre-period wk2,SP,desktop,basic,Digital Video (YouTube Ads),0,34.9
USR001106,2024-03-12,-1,Pre-period wk2,SP,desktop,basic,Digital Video (TikTok Ads),11,34.9
USR001107,2024-03-11,-1,Pre-period wk2,SP,tablet,basic,Digital Video (TikTok Ads),7,34.9
USR001108,2024-03-11,-1,Pre-period wk2,SP,mobile,basic,organic,13,34.9
USR001109,2024-03-17,-1,Pre-period wk2,SP,tablet,basic,Digital Video (YouTube Ads),14,34.9
USR001110,2024-03-12,-1,Pre-period wk2,SP,mobile,basic,Digital Video (Meta Ads),7,34.9
USR001111,2024-03-11,-1,Pre-period wk2,SP,desktop,free,Digital Video (YouTube Ads),2,34.9
USR001112,2024-03-17,-1,Pre-period wk2,SP,mobile,basic,Digital Video (YouTube Ads),8,34.9
USR001113,2024-03-11,-1,Pre-period wk2,SP,tablet,basic,Digital Video (TikTok Ads),10,34.9
USR001114,2024-03-11,-1,Pre-period wk2,SP,desktop,free,Digital Video (Google Ads),13,34.9
USR001115,2024-03-14,-1,Pre-period wk2,SP,mobile,basic,Digital Video (Google Ads),5,34.9
USR001116,2024-03-12,-1,Pre-period wk2,SP,mobile,basic,Digital Video (YouTube Ads),4,34.9
USR001117,2024-03-17,-1,Pre-period wk2,SP,desktop,ad-supported,organic,13,34.9
USR001118,2024-03-11,-1,Pre-period wk2,SP,tablet,free,Digital Video (YouTube Ads),5,34.9
USR001119,2024-03-12,-1,Pre-period wk2,SP,mobile,free,Digital Video (Meta Ads),3,34.9
USR001120,2024-03-12,-1,Pre-period wk2,SP,tablet,free,Digital Video (TikTok Ads),3,34.9
USR001121,2024-03-12,-1,Pre-period wk2,SP,mobile,basic,Digital Video (YouTube Ads),3,34.9
USR001122,2024-03-20,0,Pre-period wk3,SP,tablet,free,Digital Video (Google Ads),11,34.9
USR001123,2024-03-18,0,Pre-period wk3,SP,mobile,ad-supported,Digital Video (TikTok Ads),1,34.9
USR001124,2024-03-22,0,Pre-period wk3,SP,mobile,basic,Digital Video (Google Ads),10,34.9
USR001125,2024-03-21,0,Pre-period wk3,SP,mobile,free,Digital Video (YouTube Ads),9,34.9
USR001126,2024-03-23,0,Pre-period wk3,SP,mobile,free,Digital Video (TikTok Ads),11,34.9
USR001127,2024-03-24,0,Pre-period wk3,SP,tablet,free,Digital Video (YouTube Ads),12,34.9
USR001128,2024-03-22,0,Pre-period wk3,SP,mobile,basic,Digital Video (TikTok Ads),6,34.9
USR001129,2024-03-23,0,Pre-period wk3,SP,tablet,free,Digital Video (YouTube Ads),5,34.9
USR001130,2024-03-18,0,Pre-period wk3,SP,desktop,free,Digital Video (TikTok Ads),6,34.9
USR001131,2024-03-20,0,Pre-period wk3,SP,desktop,free,Digital Video (Meta Ads),2,34.9
USR001132,2024-03-21,0,Pre-period wk3,SP,tablet,free,Digital Video (Google Ads),4,34.9
USR001133,2024-03-22,0,Pre-period wk3,SP,tablet,basic,Digital Video (TikTok Ads),7,34.9
USR001134,2024-03-21,0,Pre-period wk3,SP,tablet,ad-supported,Digital Video (TikTok Ads),5,34.9
USR001135,2024-03-24,0,Pre-period wk3,SP,mobile,ad-supported,Digital Video (YouTube Ads),14,34.9
USR001136,2024-03-21,0,Pre-period wk3,SP,desktop,basic,Digital Video (YouTube Ads),9,34.9
USR001137,2024-03-23,0,Pre-period wk3,SP,mobile,basic,Digital Video (YouTube Ads),13,34.9
USR001138,2024-03-20,0,Pre-period wk3,SP,mobile,ad-supported,Digital Video (Google Ads),12,34.9
USR001139,2024-03-20,0,Pre-period wk3,SP,tablet,free,Digital Video (YouTube Ads),14,34.9
USR001140,2024-03-20,0,Pre-period wk3,SP,tablet,free,Digital Video (Meta Ads),1,34.9
